web-scraper-order;name;transp_name;max_weight;Volume;order_link;;;distance;adr_start;adr_end;date_start;duration;price;order_num;order_name;order_info;fuel_av_100;;date_start
1715027894-1;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;холодильник, стиральная машина, 3 разобранных шкафа от советской стенки.;;;120;Москва;Руза;15.05.2019;3;2870;№ 1327110; Перевезти холодильник, стиральная машина, 3 разобранных шкафа от советской стенки.;"Груз № 1: холодильник 
                                        Дата перевозки:  18.05
					Время перевозки:  с 08:00 по 08:00
                    Категория: Мебель и бытовая техника
                    Вес: не указано
                    Д; Ш; В : не указано
					Объем:  не указано";10,26962033;;15.05.2019
1715027920-2;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван;;;81;Москва;Нестерово;19.05.2019;5;2980;№ 1329216; Перевозка мебели ;"Груз : Диван 
                                        Дата перевозки:  19.05
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 28 кг
                    Д; Ш; В : 215 см; 100 см; 90 см;
					Объем:  1.94 м3";8,266780113;;19.05.2019
1715027946-3;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Угловой диван (разбирается на 3 части);;;130;Москва;посёлок Тархановка;24.05.2019;3;3709;№ 1330136; Грузоперевозки попутно;"Груз :
							Угловой диван (разбирается на 3 части)						
                                        Дата перевозки:  24.05
					Время перевозки:  с 18:00 по 22:00
                    Категория: Догруз
                    Вес: не указано
                    Д; Ш; В : 200 см; 220 см; 70 см;
					Объем:  3.08 м3";12,70507539;;24.05.2019
1715027971-4;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Бензогенератор ,мотокультиватор;;;124;Москва;Московская обл. Нарофоминский район;21.05.2019;4;4190;№ 1330462; Отправить Бензогенератор ,мотокультиватор;"Груз : Бензогенератор ,мотокультиватор 
                                        Дата перевозки:  21.05
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 100 кг
                    Д; Ш; В : 100 см; 150 см; 100 см;
					Объем:  1.5 м3";12,96244625;;21.05.2019
1715027997-5;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;19;Москва;Москва;27.05.2019;3;1130;№ 1330823; Заказ авто для квартирного переезда;"Дата перевозки:  с 27.05 по 31.05
					Время перевозки:  с 18:30 по 20:00

										Общий объем:  0.64 м3
					Общий вес:  10 кг
                    Категория: Переезд";8,648527339;;27.05.2019
1715028022-6;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Книги в книжных полках;;;34;Москва;село Ям;23.05.2019;4;2530;№ 1331401; Перевозка вещей ;"Груз : Книги в книжных полках 
                                        Дата перевозки:  26.05
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 12 кг
                    Д; Ш; В : 100 см; 50 см; 50 см;
					Объем:  0.25 м3";8,554539974;;23.05.2019
1715028049-7;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Письменный стол, Шкаф;;;14;Москва;Москва;25.05.2019;4;2810;№ 1331927; Заказать автомобиль для доставки мебели ;"Груз № 1: Письменный стол 
                                        Дата перевозки:  25.05
					Время перевозки:  с 18:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 110 см; 67 см; 76 см;
					Объем:  0.56 м3";8,309602965;;25.05.2019
1715028075-8;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Картонные коробки с вещами;;;9;Москва кутузовский 26 корпус 3;Москва;29.05.2019;5;1640;№ 1333841; Заказать авто для транспортировки личныx вещей ;"Груз : Картонные коробки с вещами 
                                        Дата перевозки:  30.05
					Время перевозки:  с 10:00 по 12:00
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 60 см; 30 см; 300 см;
					Объем:  0.54 м3";9,638792167;;29.05.2019
1715028094-9;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Соль;;;210;рабочий посёлок Обухово;Тверь;31.05.2019;4;6000;№ 1335123; Доставить соль догрузом;"Груз :
							Соль						
                                        Дата перевозки:  31.05
					Время перевозки:  с 14:30 по 17:00
                    Категория: Догруз
                    Вес: не указано
                    Д; Ш; В : не указано
					Объем:  не указано";10,87146409;;31.05.2019
1715028120-10;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Мебель и вещи;;;0.772;Москва;Москва;02.06.2019;4;1861;№ 1335366; Заказ отдельной машины для доставки личныx вещей ;"Груз : Мебель и вещи 
                                        Дата перевозки:  02.06
					Время перевозки:  с 07:00 по 20:00
                    Категория: Мебель и бытовая техника
                    Вес: 200 кг
                    Д; Ш; В : 200 см; 120 см; 100 см;
					Объем:  2.4 м3";9,822874996;;02.06.2019
